Category,Message,,,
ham,Hey gals...U all wanna meet 4 dinner at nÃ¬te?, , , 
ham,"The fact that you're cleaning shows you know why i'm upset. Your priority is constantly ""what i want to do,"" not ""what i need to do.""",,,
ham,Jus telling u dat i'll b leaving 4 shanghai on 21st instead so we'll haf more time 2 meet up cya...,,,
ham,Went to ganesh dress shop,,,
ham,Are you this much buzy,,,
ham,We'll join the  &lt;#&gt;  bus,,,
spam,Congratulations YOU'VE Won. You're a Winner in our August Â£1000 Prize Draw. Call 09066660100 NOW. Prize Code 2309.,,,
spam,u r a winner U ave been specially selected 2 receive Â£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810710p/min (18 ),,,
ham,Arun can u transfr me d amt,,,
ham,"Sorry, I can't text &amp; drive coherently, see you in twenty",,,
spam,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access! www.telediscount.co.uk,,,
ham,"It's not that you make me cry. It's just that when all our stuff happens on top of everything else, it pushes me over the edge. You don't underdtand how often i cry over my sorry, sorry life.",,,
ham,I will reach before ten morning,,,
spam,Dear Dave this is your final notice to collect your 4* Tenerife Holiday or #5000 CASH award! Call 09061743806 from landline. TCs SAE Box326 CW25WX 150ppm,,,
ham,"I can make it up there, squeezed  &lt;#&gt;  bucks out of my dad",,,
ham,"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,",,,
ham,My sis is catching e show in e afternoon so i'm not watching w her. So c u wan 2 watch today or tmr lor.,,,
spam,5p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.,,,
ham,I know but you need to get hotel now. I just got my invitation but i had to apologise. Cali is to sweet for me to come to some english bloke's weddin,,,
ham,Yup i thk they r e teacher said that will make my face look longer. Darren ask me not 2 cut too short.,,,
ham,Whens your radio show?,,,
ham,"Garbage bags, eggs, jam, bread, hannaford wheat chex",,,
spam,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,,,
ham,HARD BUT TRUE: How much you show &amp;  express your love to someone....that much it will hurt when they leave you or you get seperated...!éˆ¥â”¾??ã€¨ud evening...,,,
ham,Ok darlin i supose it was ok i just worry too much.i have to do some film stuff my mate and then have to babysit again! But you can call me there.xx,,,
ham,U don't remember that old commercial?,,,
ham,Sorry. You never hear unless you book it. One was kinda a joke--thet were really looking for skinny white girls. The other was one line--you can only do so much on camera with that. Something like that they're casting on the look.,,,
ham,And whenever you and i see we can still hook up too.,,,
ham,Headin towards busetop,,,
ham,"Coffee cake, i guess...",,,
ham,I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me...,,,
ham,I doubt you could handle 5 times per night in any case...,,,
ham,Been up to ne thing interesting. Did you have a good birthday? When are u wrking nxt? I started uni today.,,,
ham,Are you this much buzy,,,
ham,"My planning usually stops at ""find hella weed, smoke hella weed""",,,
ham,I have lost 10 kilos as of today!,,,
ham,Wat uniform? In where get?,,,
ham,I wont. So wat's wit the guys,,,
spam,"For ur chance to win Â£250 cash every wk TXT: PLAY to 83370. T's&C's www.music-trivia.net custcare 08715705022, 1x150p/wk.",,,
ham,Sure but since my parents will be working on Tuesday I don't really need a cover story,,,
ham,I think the other two still need to get cash but we can def be ready by 9,,,
ham,They said Ã¼ dun haf passport or smth like dat.. Or Ã¼ juz send to my email account..,,,
ham,here is my new address -apples&pairs&all that malarky,,,
ham,"Sorry, I'll call later  &lt;#&gt; mins",,,
ham,I am in escape theatre now. . Going to watch KAVALAN in a few minutes,,,
ham,Annoying isn't it.,,,
ham,Yes princess! I want to make you happy...,,,
ham,No no. I will check all rooms befor activities,,,
ham,"Alright if you're sure, let me know when you're leaving",,,
ham,Dai what this da.. Can i send my resume to this id.,,,
ham,Are you plans with your family set in stone ?,,,
ham,I'm leaving my house now...,,,
ham,Good sleep is about rhythm. The person has to establish a rhythm that the body will learn and use. If you want to know more :-),,,
ham,Yup ok...,,,
ham,Should I head straight there or what,,,
ham,Shuhui has bought ron's present it's a swatch watch...,,,
ham,"Hi , where are you? We're at  and they're not keen to go out i kind of am but feel i shouldn't so can we go out tomo, don't mind do you?",,,
ham,Just curious because my cuz asked what I was up to,,,
ham,I am back. Bit long cos of accident on a30. Had to divert via wadebridge.I had a brilliant weekend thanks. Speak soon. Lots of love,,,
ham,"Sorry, I can't help you on this.",,,
ham,"Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)",,,
ham,"idc get over here, you are not weaseling your way out of this shit twice in a row",,,
spam,Uâ€™ve Bin Awarded Â£50 to Play 4 Instant Cash. Call 08715203028 To Claim. EVERY 9th Player Wins Min Â£50-Â£500. OptOut 08718727870,,,
ham,"U wake up already? Wat u doing? U picking us up later rite? I'm taking sq825, reaching ard 7 smth 8 like dat. U can check e arrival time. C ya soon...",,,
ham,Did he just say somebody is named tampa,,,
spam,"URGENT! Last weekend's draw shows that you have won Â£1000 cash or a Spanish holiday! CALL NOW 09050000332 to claim. T&C: RSTM, SW7 3SS. 150ppm",,,
ham,So lets make it saturday or monday as per convenience.,,,
ham,"If i let you do this, i want you in the house by 8am.",,,
ham,"Aight, let me know when you're gonna be around usf",,,
ham,How abt making some of the pics bigger?,,,
ham,You still around? Looking to pick up later,,,
ham,Have you emigrated or something? Ok maybe 5.30 was a bit hopeful...,,,
ham,We live in the next  &lt;#&gt; mins,,,
ham,"Aight no rush, I'll ask jay",,,
ham,I said its okay. Sorry,,,
ham,"Thanks, I'll keep that in mind",,,
ham,Apo all other are mokka players only,,,
ham,What's the significance?,,,
ham,"HEY THERE BABE, HOW U DOIN? WOT U UP 2 2NITE LOVE ANNIE X.",,,
ham,Thanks for being there for me just to talk to on saturday. You are very dear to me. I cherish having you as a brother and role model.,,,
ham,Be happy there. I will come after noon,,,
ham,Hey ! Don't forget ... You are MINE ... For ME ... My possession ... MY property ... MMM ... *childish smile* ...,,,
spam,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,,,
spam,"YOU VE WON! Your 4* Costa Del Sol Holiday or Â£5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, CostÂ£1.50/pm, Max10mins",,,
ham,Unfortunately i've just found out that we have to pick my sister up from the airport that evening so don't think i'll be going out at all. We should try to go out one of th,,,
ham,Can you talk with me..,,,
ham,"Hello.How u doing?What u been up 2?When will u b moving out of the flat, cos I will need to arrange to pick up the lamp, etc. Take care. Hello caroline!",,,
spam,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p.,,,
ham,Have a good evening! Ttyl,,,
ham,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...",,,
ham,"Nah, I'm a perpetual DD",,,
spam,Talk sexy!! Make new friends or fall in love in the worlds most discreet text dating service. Just text VIP to 83110 and see who you could meet.,,,
ham,Are u coming to the funeral home,,,
ham,Same as kallis dismissial in 2nd test:-).,,,
ham,I'm going 2 orchard now laready me reaching soon. U reaching?,,,
ham,Die... Now i have e toot fringe again...,,,
ham,So no messages. Had food?,,,
ham,HI DARLIN IM MISSIN U HOPE YOU ARE HAVING A GOOD TIME. WHEN ARE U BACK AND WHAT TIME IF U CAN GIVE ME A CALL AT HOME. JESS XX,,,
ham,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?",,,
ham,"Send ur birthdate with month and year, I will tel u ur LIFE PARTNER'S name. and the method of calculation. Reply must.",,,
ham,Whos this am in class:-),,,
ham,Lol I was gonna last month. I cashed some in but I left &lt;#&gt; just in case. I was collecting more during the week cause they announced it on the blog.,,,
ham,Think you sent the text to the home phone. That cant display texts. If you still want to send it his number is,,,
spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,,,
ham,I'm job profile seems like bpo..,,,
ham,Why i come in between you people,,,
ham,"I'm in a meeting, call me later at",,,
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,,,
ham,I hope your pee burns tonite.,,,
ham,4 oclock at mine. Just to bash out a flat plan.,,,
ham,Where can download clear movies. Dvd copies.,,,
ham,Please dont say like that. Hi hi hi,,,
ham,"Yo, I'm at my parents' gettin cash. Good news: we picked up a downstem",,,
ham,I'm also came to room.,,,
ham,I love your ass! Do you enjoy doggy style? :),,,
ham,We are pleased to inform that your application for Airtel Broadband is processed successfully. Your installation will happen within 3 days.,,,
ham,Ok. So april. Cant wait,,,
ham,Yo dude guess who just got arrested the other day,,,
spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.,,,
ham,Good night my dear.. Sleepwell&amp;Take care,,,
spam,"Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q=",,,
spam,"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000928. PoBox45W2TG150P",,,
ham,He fucking chickened out. He messaged me he would be late and woould buzz me and then I didn't hear a word from him,,,
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send COLLECT to 83600 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1,,,
ham,Pls help me tell sura that i'm expecting a battery from hont. And that if should pls send me a message about how to download movies. Thanks,,,
ham,Da is good good player.why he is unsold.,,,
ham,It's ok i wun b angry. Msg u aft i come home tonight.,,,
ham,K..k:)how about your training process?,,,
ham,I don't want you to leave. But i'm barely doing what i can to stay sane. fighting with you constantly isn't helping.,,,
ham,I couldn't say no as he is a dying man and I feel sad for him so I will go and I just wanted you to know I would probably be gone late into your night,,,
ham,"Sir, good morning. Hope you had a good weekend. I called to let you know that i was able to raise  &lt;#&gt;  from my dad. He however said he would make the rest available by mid feb. This amount is still quite short and i was hoping you would help. Do have a good day. Abiola",,,
ham,I hope you arnt pissed off but id would really like to see you tomorrow. Love me xxxxxxxxxxxxxX,,,
ham,"Its ok, if anybody asks abt me, u tel them..:-P",,,
ham,I dont know what to do to come out of this so only am ask questions like this dont mistake me.,,,
spam,You have WON a guaranteed Â£1000 cash or a Â£2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm,,,
ham,Lovely smell on this bus and it ain't tobacco...,,,
ham,"And stop wondering ""wow is she ever going to stop tm'ing me ?!"" because I will tm you whenever I want because you are MINE ... *laughs*",,,
ham,"Aight, I'll ask a few of my roommates",,,
spam,Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com,,,
ham,My superior telling that friday is leave for all other department except ours:)so it will be leave for you:)any way call waheed fathima hr and conform it:),,,
ham,Cos i was out shopping wif darren jus now n i called him 2 ask wat present he wan lor. Then he started guessing who i was wif n he finally guessed darren lor.,,,
ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,,,
ham,From 5 to 2 only my work timing.,,,
spam,Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!,,,
ham,"Hello, my boytoy! I made it home and my constant thought is of you, my love. I hope your having a nice visit but I can't wait till you come home to me ...*kiss*",,,
ham,Was the actual exam harder than NBME,,,
ham,You tell what happen dont behave like this to me. Ok no need to say,,,
ham,Will purchase d stuff today and mail to you. Do you have a po box number?,,,
ham,"There'll be a minor shindig at my place later tonight, you interested?",,,
ham,When i have stuff to sell i.ll tell you,,,
spam,PRIVATE! Your 2003 Account Statement for 078,,,
ham,Yes. Please leave at  &lt;#&gt; . So that at  &lt;#&gt;  we can leave,,,
ham,Get ready for  &lt;#&gt;  inches of pleasure...,,,
ham,Well she's in for a big surprise!,,,
ham,"Yup, no need. I'll jus wait 4 e rain 2 stop.",,,
ham,So your telling me I coulda been your real Valentine and I wasn't? U never pick me for NOTHING!!,,,
spam,"Free msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service.",,,
ham,"Give her something to drink, if she takes it and doesn't vomit then you her temp might drop. If she unmits however let me know.",,,
ham,G wants to know where the fuck you are,,,
ham,I'm at bruce &amp; fowler now but I'm in my mom's car so I can't park (long story),,,
ham,"Cool, text me when you're ready",,,
ham,"[â€¦] anyway, many good evenings to u! s",,,
ham,"Sure thing big man. i have hockey elections at 6, shouldnâ€˜t go on longer than an hour though",,,
ham,Customer place i will call you,,,
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",,,
spam,"Latest News! Police station toilet stolen, cops have nothing to go on!",,,
ham,"I can probably come by, everybody's done around  &lt;#&gt;  right?",,,
spam,YOU ARE CHOSEN TO RECEIVE A Â£350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.,,,
ham,Oh k. . I will come tomorrow,,,
ham,Ãœ eatin later but i'm eatin wif my frens now lei... Ãœ going home first?,,,
ham,Dai i downloaded but there is only exe file which i can only run that exe after installing.,,,
ham,"Nothing really, just making sure everybody's up to speed",,,
ham,"Itâ€˜s reassuring, in this crazy world.",,,
ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?,,,
ham,Can not use foreign stamps in this country. Good lecture .,,,
spam,WIN a year supply of CDs 4 a store of ur choice worth Â£500 & enter our Â£100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3,,,
ham,I have to take exam with in march 3,,,
ham,But i juz remembered i gotta bathe my dog today..,,,
ham,I am thinking of going down to reg for pract lessons.. Flung my advance.. Haha wat time u going?,,,
spam,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",,,
ham,HI BABE U R MOST LIKELY TO BE IN BED BUT IM SO SORRY ABOUT TONIGHT! I REALLY WANNA SEE U TOMORROW SO CALL ME AT 9. LOVE ME XXX,,,
ham,Thanks for picking up the trash.,,,
ham,Sweet heart how are you?,,,
ham,hope things went well at 'doctors' ;) reminds me i still need 2go.did u c d little thing i left in the lounge?,,,
ham,K I'll take care of it,,,
ham,It means u could not keep ur words.,,,
ham,"Cool, what time you think you can get here?",,,
spam,"Goal! Arsenal 4 (Henry, 7 v Liverpool 2 Henry scores with a simple shot from 6 yards from a pass by Bergkamp to give Arsenal a 2 goal margin after 78 mins.",,,
ham,Will do. Was exhausted on train this morning. Too much wine and pie. You sleep well too,,,
ham,Much better now thanks lol,,,
ham,Bring tat cd don forget,,,
ham,Just checking in on you. Really do miss seeing Jeremiah. Do have a great month,,,
ham,Not a lot has happened here. Feels very quiet. Beth is at her aunts and charlie is working lots. Just me and helen in at the mo. How have you been?,,,
ham,No da..today also i forgot..,,,
ham,"Tunji, how's the queen? how are you doing. This is just wishing you a great day. Abiola.",,,
spam,"Text82228>> Get more ringtones, logos and games from www.txt82228.com. Questions: info@txt82228.co.uk",,,
ham,"Save yourself the stress. If the person has a dorm account, just send your account details and the money will be sent to you.",,,
ham,Waiting for your call.,,,
ham,He is a womdarfull actor,,,
ham,"I.ll always be there, even if its just in spirit. I.ll get a bb soon. Just trying to be sure i need it.",,,
ham,Heart is empty without love.. Mind is empty without wisdom.. Eyes r empty without dreams &amp; Life is empty without frnds.. So Alwys Be In Touch. Good night &amp; sweet dreams,,,
ham,"Oh... I was thkin of goin yogasana at 10 den no nd to go at 3 den can rush to parco 4 nb... Okie lor, u call me when ready...",,,
ham,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...",,,
ham,"Cant believe i said so many things to you this morning when all i really wanted to say was good morning, i love you! Have a beautiful morning. See you in the library later.",,,
ham,No problem baby. Is this is a good time to talk? I called and left a message.,,,
ham,Hey gorgeous man. My work mobile number is. Have a good one babe. Squishy Mwahs.,,,
ham,Are you going to wipro interview today?,,,
ham,Kay... Since we are out already,,,
ham,Aiyar sorry lor forgot 2 tell u...,,,
ham,K actually can you guys meet me at the sunoco on howard? It should be right on the way,,,
ham,Ok lor...,,,
ham,Ya! when are Ã¼ taking ure practical lessons? I start in june..,,,
ham,My supervisor find 4 me one lor i thk his students. I havent ask her yet. Tell u aft i ask her.,,,
ham,Yeah it's jus rite...,,,
ham,"Hello lover! How goes that new job? Are you there now? Are you happy? Do you think of me? I wake, my slave and send you a teasing kiss from across the sea",,,
ham,"Oh! Shit, I thought that was your trip! Loooooool ... That just makes SO much more sense now ... *grins* and the sofa reference was ... The ""sleep on a couch"" link you sent me ... Wasn't that how you went on your trip ? Oh ... And didn't your babe go with you for that celebration with your rents?",,,
spam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,,,
spam,#ERROR!,,,
ham,I think u have the wrong number.,,,
spam,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p,,,
ham,"Hey... Thk we juz go accordin to wat we discussed yest lor, except no kb on sun... Cos there's nt much lesson to go if we attend kb on sat...",,,
ham,You bad girl. I can still remember them,,,
ham,Pete can you please ring meive hardly gotany credit,,,
ham,That's y i said it's bad dat all e gals know u... Wat u doing now?,,,
ham,Our Prashanthettan's mother passed away last night. pray for her and family.,,,
spam,Hello. We need some posh birds and chaps to user trial prods for champneys. Can i put you down? I need your address and dob asap. Ta r,,,
spam,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk",,,
ham,"I'm an actor. When i work, i work in the evening and sleep late. Since i'm unemployed at the moment, i ALWAYS sleep late. When you're unemployed, every day is saturday.",,,
ham,Detroit. The home of snow. Enjoy it.,,,
ham,Go where n buy? Juz buy when we get there lar.,,,
spam,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,,,
spam,URGENT We are trying to contact you Last weekends draw shows u have won a Â£1000 prize GUARANTEED Call 09064017295 Claim code K52 Valid 12hrs 150p pm,,,
ham,"Beautiful tomorrow never comes.. When it comes, it's already TODAY.. In the hunt of beautiful tomorrow don't waste your wonderful TODAY.. GOODMORNING:)",,,
ham,"Yo, you around? Just got my car back",,,
ham,So when do you wanna gym harri,,,
ham,Not thought bout it... || Drink in tap & spile at seven. || Is that pub on gas st off broad st by canal. || Ok?,,,
ham,Did u got that persons story,,,
ham,Hi. || Do u want | to join me with sts later? || Meeting them at five. || Call u after class.,,,
ham,Howz that persons story,,,
ham,No. Yes please. Been swimming?,,,
ham,"Sorry, I'll call later in meeting.",,,
ham,staff.science.nus.edu.sg/~phyhcmk/teaching/pc1323,,,
ham,"Rose needs water, season needs change, poet needs imagination..My phone needs ur sms and i need ur lovely frndship forever....",,,
ham,Hi :)finally i completed the course:),,,
ham,Ok..,,,
ham,"LOOK AT AMY URE A BEAUTIFUL, INTELLIGENT WOMAN AND I LIKE U A LOT. I KNOW U DONÂ’T LIKE ME LIKE THAT SO DONÂ’T WORRY.",,,
spam,"449050000301 You have won a Â£2,000 price! To claim, call 09050000301.",,,
ham,Ya had just now.onion roast.,,,
ham,"A bit of Ur smile is my hppnss, a drop of Ur tear is my sorrow, a part of Ur heart is my life, a heart like mine wil care for U, forevr as my GOODFRIEND",,,
spam,Dear Subscriber ur draw 4 Â£100 gift voucher will b entered on receipt of a correct ans. When was Elvis Presleys Birthday? TXT answer to 80062,,,
ham,It certainly puts things into perspective when something like this happens,,,
ham,Hurry home u big butt. Hang up on your last caller if u have to. Food is done and I'm starving. Don't ask what I cooked.,,,
ham,Ãœ got wat to buy tell us then Ã¼ no need to come in again.,,,
ham,Hey! There's veggie pizza... :/,,,
spam,from www.Applausestore.com MonthlySubscription@50p/msg max6/month T&CsC web age16 2stop txt stop,,,
ham,Please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday eve...i already see in net..no ticket available..i want to book ticket through tackle ..,,,
ham,So when you gonna get rimac access,,,
spam,network operator. The service is free. For T & C's visit 80488.biz,,,
ham,"Mmmmmm ... I love you,so much, Ahmad ... I can't wait for this year to begin as every second takes me closer to being at your side. Happy New Year, my love!!",,,
ham,Thanx u darlin!im cool thanx. A few bday drinks 2 nite. 2morrow off! Take care c u soon.xxx,,,
ham,I'm at work. Please call,,,
ham,Hi:)cts employee how are you?,,,
ham,Excellent! Wish we were together right now!,,,
ham,So wats ur opinion abt him and how abt is character?,,,
ham,Hey so this sat are we going for the intro pilates only? Or the kickboxing too?,,,
spam,"Hi,Thanks for working with us. Your bill for $373.75 was due on 28 Aug 2016.If you've already paid it, please ignore this email and sorry for bothering you. If you've not paid it, please do so as soon as possible.To view your bill visit https://in.xero.com/5LQDhRwfvoQfeDtLDMqkk1JWSqC4CmJt4VVJRsGN.If you've got any questions, or want to arrange alternative payment don't hesitate to get in touch.ThanksNJW Limited",,,
ham,"Sorry, I'll call you  later. I am in meeting sir.",,,
ham,Happy birthday... May u find ur prince charming soon n dun work too hard...,,,
ham,"Den only weekdays got special price... Haiz... Cant eat liao... Cut nails oso muz wait until i finish drivin wat, lunch still muz eat wat...",,,
ham,I'm done. C Ã¼ there.,,,
ham,"life alle mone,eppolum oru pole allalo",,,
spam,#ERROR!,,,
